slug,title,category,license,repo_url,website_url,is_docker_ready,documented_min_ram_mb,install_verified_os,install_verified_date,content_updated
glances,Glances,monitoring,LGPL-3.0,https://github.com/nicolargo/glances,https://nicolargo.github.io/glances/,true,256,Ubuntu 26.04,2026-08-27,2026-08-27
glitchtip,GlitchTip,error-tracking,MIT,https://gitlab.com/glitchtip,https://glitchtip.com,true,512,Ubuntu 26.04,2026-08-28,2026-08-28
gogs,Gogs,code-hosting,MIT,https://github.com/gogs/gogs,https://gogs.io,true,512,Ubuntu 26.04,2026-08-27,2026-08-28
gotify,Gotify,push-notifications,MIT,https://github.com/gotify/server,https://gotify.net,true,256,Ubuntu 26.04,2026-08-28,2026-07-15
grafana,Grafana,observability,AGPL-3.0,https://github.com/grafana/grafana,https://grafana.com,true,1024,Ubuntu 26.04,2026-08-28,2026-07-14
graylog,Graylog,observability,SSPL-1.0,https://github.com/Graylog2/graylog2-server,https://graylog.org,true,8192,Ubuntu 26.04,2026-07-25,2026-07-25
headscale,Headscale,vpn-mesh-networking,BSD-3-Clause,https://github.com/juanfont/headscale,https://headscale.net,true,256,Ubuntu 26.04,2026-07-25,2026-07-25
healthchecks,Healthchecks,monitoring,BSD-3-Clause,https://github.com/healthchecks/healthchecks,https://healthchecks.io,true,1024,Ubuntu 26.04,2026-08-27,2026-08-28
home-assistant,Home Assistant,home-automation,Apache-2.0,https://github.com/home-assistant/core,https://www.home-assistant.io,true,2048,Ubuntu 26.04,2026-07-25,2026-07-13
immich,Immich,photo-backup-gallery,AGPL-3.0,https://github.com/immich-app/immich,https://immich.app,true,4096,Ubuntu 26.04,2026-08-28,2026-07-13
jan,Jan,ai-chat-interfaces,Apache-2.0,https://github.com/janhq/server,https://jan.ai,true,8192,Ubuntu 26.04,2026-07-25,2026-07-25
jellyfin,Jellyfin,media-server,GPL-2.0,https://github.com/jellyfin/jellyfin,https://jellyfin.org,true,1024,Ubuntu 26.04,2026-07-25,2026-07-13
keeweb,KeeWeb,password-manager,MIT,https://github.com/keeweb/keeweb,https://keeweb.info,true,256,Ubuntu 26.04,2026-08-26,2026-08-26
keycloak,Keycloak,sso-identity,Apache-2.0,https://github.com/keycloak/keycloak,https://www.keycloak.org,true,1024,Ubuntu 26.04,2026-07-25,2026-07-13
krayin,Krayin CRM,crm,MIT,https://github.com/krayin/laravel-crm,https://krayincrm.com,true,3072,Ubuntu 26.04,2026-08-04,2026-08-08
leantime,Leantime,project-management,AGPL-3.0,https://github.com/Leantime/leantime,https://leantime.io,true,1024,Ubuntu 24.04,2026-09-11,2026-09-10
librechat,LibreChat,ai-chat-interfaces,MIT,https://github.com/danny-avila/LibreChat,https://librechat.ai,true,2048,Ubuntu 26.04,2026-07-25,2026-07-14
linkding,linkding,bookmarks,MIT,https://github.com/sissbruecker/linkding,https://linkding.link,true,256,Ubuntu 26.04,2026-07-25,2026-07-13
localai,LocalAI,ai-chat-interfaces,MIT,https://github.com/mudler/LocalAI,https://localai.io,true,4096,Ubuntu 26.04,2026-07-25,2026-08-14
mailcow,Mailcow,mail-server,GPL-3.0,https://github.com/mailcow/mailcow-dockerized,https://mailcow.email,true,6144,Ubuntu 26.04,2026-07-25,2026-07-25
mailu,Mailu,mail-server,MIT,https://github.com/Mailu/Mailu,https://mailu.io,true,1024,Ubuntu 26.04,2026-07-25,2026-07-25
matomo,Matomo,web-analytics,GPL-3.0,https://github.com/matomo-org/matomo,https://matomo.org,true,2048,Ubuntu 26.04,2026-07-25,2026-07-25
mattermost,Mattermost,team-chat,AGPL-3.0,https://github.com/mattermost/mattermost,https://mattermost.com,true,2048,Ubuntu 26.04,2026-07-25,2026-07-25
mealie,Mealie,recipes,AGPL-3.0,https://github.com/mealie-recipes/mealie,https://mealie.io,true,1024,Ubuntu 26.04,2026-07-25,2026-07-13
miniflux,Miniflux,rss-reader,Apache-2.0,https://github.com/miniflux/v2,https://miniflux.app,true,256,Ubuntu 26.04,2026-07-25,2026-07-13
monica,Monica,crm,AGPL-3.0,https://github.com/monicahq/monica,https://www.monicahq.com,true,1024,Ubuntu 26.04,2026-08-04,2026-08-04
n8n,n8n,workflow-automation,Sustainable Use License,https://github.com/n8n-io/n8n,https://n8n.io,true,1024,Ubuntu 26.04,2026-07-25,2026-07-13
